Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Młodszy Programista SQL,Analytics,office,junior,Sente,Wrocław,6000-7000,7500-8800,,"""SQL""",/offers/sente-mlodszy-programista-sql-wroclaw-323640
Junior CSS Developer (US eCommerce),HTML,remote,junior,From Poland With Dev,Wrocław,4500-7000,5000-9000,,"""JavaScript"" ""HTML"" ""SCSS"" ""jQuery"" ""SASS"" ""Shopify"" ""Laravel"" ""ReactJS"" ""Express.js"" ""Webpack""",/offers/from-poland-with-dev-junior-css-developer-us-ecommerce-wroclaw
Product Manager Samsung Wallet Project,PM,hybrid,mid,Samsung R&D Institute Poland,Warszawa,None-None,,"""Product Management""","""Agile"" ""Scrum"" ""JIRA"" ""MDES"" ""VTS""",/offers/samsung-r-d-institute-poland-product-manager-samsung-wallet-project
Data Engineer with Databricks,Data,remote,mid,ADASTRA,Brno,,17309-21637,"""Databricks"" ""Python"" ""PySpark"" ""Cloud"" ""PostreSQL""",,/offers/adastra-data-engineer-with-databricks-brno
Data Engineer,Java,remote,senior,Capco Poland,Warszawa,,25000-30000,"""Java"" ""Scala"" ""Apache Hadoop"" ""Apache Spark"" ""PySpark"" ""Python""",,/offers/capco-poland-data-engineer-warsaw
Starszy Inżynier / Starsza Inżynierka ds. Rozwoju Platform i Aplikacji Telewizyjnych,Architecture,hybrid,senior,PLAY (P4 Sp. z o.o.),Warszawa,None-None,,"""architektura systemów inf"" ""Bazy Danych"" ""PostgreSQL"" ""Angielski"" ""sys. wysokiej dostępności""","""Linux""",/offers/play-p4-sp-z-o-o-starszy-inzynier-starsza-inzynierka-ds-rozwoju-platform-i-aplikacji-telewizyjnych
Lead Data Engineer,Data,remote,senior,Experis Manpower Group,Warszawa,,33600-36960,"""Microsoft Azure"" ""English"" ""Python"" ""Scala"" ""PySpark"" ""Azure Data Factory"" ""Azure SQL Database"" ""Azure Databricks"" ""MS SQL Server""",,/offers/experis-manpower-group-lead-data-engineer
Full Stack Engineer,PHP,remote,mid,edrone,Szczecin,,15000-20000,"""PHP""","""AWS"" ""Java"" ""JavaScript"" ""HTML"" ""Vue.js"" ""Git"" ""TypeScript""",/offers/edrone-full-stack-engineer-szczecin
SQL Server Database Admin,Admin,remote,mid,DXC Technology,Lublin,None-None,,"""MS SQL Server"" ""Databases"" ""Database administration""",,/offers/dxc-technology-sql-server-database-admin-lublin
Expert DevOps Engineer,DevOps,hybrid,senior,ING Bank Śląski,Warszawa,12000-28000,,"""Red Hat"" ""Core OS"" ""RHCSA"" ""Ansible"" ""Bash"" ""Python"" ""REST API""","""OpenShift"" ""Prometheus"" ""Grafana""",/offers/ing-bank-slaski-expert-devops-engineer-warszawa-305074
Cybersecurity GRC Specialist,Security,remote,senior,Hitachi Energy,Gdańsk,None-None,,"""Cybersecurity"" ""Risk Management"" ""ISO27001/2"" ""ITIL"" ""English""","""GRC"" ""Project Management""",/offers/hitachi-energy-cybersecurity-grc-specialist-gdansk
Lead of Internal Infrastructure (Deputy Head),Admin,office,senior,PIN-UP Global,Warszawa,,,"""Windows Administration"" ""Mac OS"" ""Linux OS"" ""Network Administration"" ""Team Management"" ""VPN"" ""Helpdesk"" ""Ajax""",,/offers/pin-up-global-lead-of-internal-infrastructure-deputy-head
Business Intelligence Developer,Analytics,hybrid,mid,4IT Solutions,Kielce,10000-18000,,"""SQL"" ""PowerBi"" ""Power Query""","""Angielski""",/offers/4it-solutions-business-intelligence-developer
ERP Product Line Specialist Order Management,PM,hybrid,senior,Takeda,Łódź,None-None,,"""SAP MM"" ""SAP SD""",,/offers/takeda-erp-product-line-specialist-order-management-lodz-321795
Konsultant - Administrator SAP,PM,hybrid,mid,BUDIMEX,Warszawa,None-None,None-None,"""SAP FI"" ""product owner"" ""Product Management"" ""Agile"" ""JIRA"" ""Scrum"" ""Business Intelligence"" ""Angielski""","""SAP CO""",/offers/budimex-konsultant-administrator-sapc-warszawa-324069
"Fullstack Developer (PHP- Symfony,JS)",PHP,remote,mid,Rekrutacja ACR,Wrocław,,14950-20000,"""PHP"" ""JS"" ""Symfony"" ""MySQL""","""Vue.js"" ""Linux""",/offers/rekrutacja-acr-fullstack-developer-php-symfony-js-wroclaw
Senior Linux Systems Engineer,Admin,office,senior,Keepit,Kraków,None-None,,"""Linux""",,/offers/keepit-senior-linux-systems-engineer
Architekt Systemów IT,Architecture,remote,senior,EXORIGO UPOS S.A.,Gliwice,None-None,None-None,"""SQL"" ""English""","""UML"" ""Azure"" ""Linux"" ""Docker"" ""JMS"" ""Kubernetes""",/offers/exorigo-upos-s-a-architekt-systemow-it
