Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
EPM Consultant,ERP,hybrid,mid,Accenture,Kraków,None-None,None-None,"""English"" ""EPM platforms""",,/offers/accenture-epm-consultant-krakow
Frontend Angular Developer,JS,hybrid,mid,ITLT,Warszawa,,23520-26880,"""Angular"" ""TypeScript"" ""English""","""Angular Material"" ""AWS""",/offers/itlt-frontend-angular-developer-warszawa-325643
Specialist – Cloud Operations Engineer,DevOps,remote,mid,Arla,Sopot,None-None,,"""Azure Data Factory"" ""Azure Data Lake"" ""Spark"" ""ARM"" ""MS SQL"" ""Python""","""Databricks""",/offers/arla-specialist-cloud-operations-engineer-sopot
SailPoint Content Developer,Security,remote,mid,RITS Professional Services,Warszawa,,None-None,"""SailPoint"" ""Active Directory""","""LDAP"" ""Radius""",/offers/rits-professional-services-sailpoint-content-developer
Product Owner,PM,hybrid,senior,HSBC Service Delivery,Kraków,None-None,,"""Agile/Scrum"" ""JIRA"" ""Rally"" ""AWS"" ""Azure"" ""GCP""",,/offers/hsbc-service-delivery-product-owner-krakow-327052
Senior DevOps Engineer (GCP),DevOps,remote,senior,GetInData | Part of Xebia,Kraków,,25200-31080,"""Google Cloud Platform"" ""Apache Kafka"" ""Prometheus"" ""CI/CD"" ""Deployment Manager"" ""Terraform"" ""Ansible""","""Airflow"" ""BigQuery"" ""Python""",/offers/getindata-part-of-xebia-senior-devops-engineer-gcp-krakow-326007
Administrator Systemów (Linux/Docker),Admin,hybrid,mid,Polkomtel Sp. z o. o.,Warszawa,None-None,None-None,"""Linux"" ""Microsoft Windows"" ""Docker"" ""Java EE"" ""CI/CD""",,/offers/polkomtel-sp-z-o-o-administrator-systemow-linux-docker
Senior UX/UI Designer,UX/UI,hybrid,senior,Printbox,Kraków,16000-19000,17000-20000,"""UX Design"" ""UX Research"" ""UI Design""",,/offers/printbox-senior-ux-ui-designer-krakow
IT Business Application Manager,ERP,hybrid,senior,Roland,Kuny,None-None,None-None,"""SAP"" ""Project Management""",,/offers/roland-it-business-application-manager
Java Developer,Java,office,mid,cronn Polska,Białystok,12000-20000,12000-20000,"""Agile"" ""Java"" ""Git"" ""Microservices"" ""Clean Code"" ""Software craftmanship"" ""Spring"" ""JPA"" ""Gradle""","""Cloud""",/offers/cronn-polska-java-developer-bialystok-322562
Specjalista ds. Infrastruktury lokalnej IT,Admin,hybrid,mid,Medicover,Warszawa,None-None,,"""VMware"" ""GPO"" ""Active Directory DHCP"" ""Cisco""","""Certyfikat CCNA""",/offers/medicover-specjalista-ds-infrastruktury-lokalnej-it
Junior IT Analyst,Analytics,remote,junior,Vodeno,Warszawa,None-None,None-None,,"""UML"" ""SQL"" ""Confluence""",/offers/vodeno-junior-it-analyst
Junior Golang Developer,Go,remote,junior,Teamwork.com,Kraków,9700-14300,,,"""Golang"" ""Amazon AWS"" ""MySQL""",/offers/teamwork-com-junior-golang-developer-krakow
Software Engineer Intern,Java,hybrid,junior,VISA,Warszawa,,,,"""Java"" ""C#"" ""C++""",/offers/visa-software-engineer-intern
Junior Cloud Engineer,DevOps,hybrid,junior,Asseco Business Solutions,Lublin,None-None,None-None,,"""AWS"" ""Terraform"" ""Kubernetes"" ""Linux""",/offers/asseco-business-solutions-junior-cloud-engineer
Salesforce Architect,Architecture,remote,mid,Finitec Sp. Z o.o.,Warszawa,,None-None,"""Salesforce"" ""Apex""",,/offers/finitec-sp-z-o-o-salesforce-architect
Administrator/ka aplikacji IT (Docker/ Kubernetes),Admin,hybrid,mid,TAURON Obsługa Klienta,Kraków,7400-11300,,"""Docker"" ""Kubernetes"" ""Redis"" ""RabbitMQ""","""OpenShift""",/offers/tauron-obsluga-klienta-administrator-ka-aplikacji-it-docker-kubernetes-krakow
Senior DevOps Engineer,DevOps,remote,senior,L2Beat,Warszawa,,None-None,"""Ansible"" ""Terraform"" ""Grafana"" ""Prometheus"" ""Docker"" ""Ethereum"" ""Geth"" ""Prism""",,/offers/l2beat-senior-devops-engineer-warszawa
Onsite Helpdesk Support Analyst,Support,office,mid,Gibbs Hybrid Poland,Wrocław,7000-10000,10000-13500,"""English"" ""Active Directory"" ""Windows"" ""Mac OS""",,/offers/gibbs-hybrid-poland-onsite-helpdesk-support-analyst
Senior PHP Developer with German,PHP,remote,senior,VM.PL,Kraków,19000-21000,27000-30000,"""PHP 8"" ""Niemiecki"" ""Angielski""","""Rust"" ""Travis"" ""Scrutinizer"" ""Codecov""",/offers/vm-pl-senior-php-developer-with-german-krakow
SRE Application Engineer,Python,remote,mid,DXC Technology,Łódź,None-None,None-None,"""Python"" ""PySpark"" ""pytest"" ""Kubernetes"" ""Machine Learning"" ""AI"" ""Big Data""",,/offers/dxc-technology-sre-application-engineer-lodz
