Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Architekt Rozwiązań / Architektka Rozwiązań IT,Architecture,remote,senior,Centralny Ośrodek Informatyki,Wrocław,18000-25000,,"""UML"" ""ArchiMate"" ""Java"" ""JavaScript""",,/offers/centralny-osrodek-informatyki-architekt-rozwiazan-it-wroclaw
Senior Kubernetes and DevOps Engineer,DevOps,remote,senior,DNV,Gdynia,None-None,,"""DevOps"" ""Kubernetes"" ""Azure DevOps""",,/offers/dnv-kubernetes-and-devops-engineer
Senior Mobile Developer,Mobile,hybrid,senior,Capgemini Polska,Kraków,None-None,,"""Native Mobile Development"" ""MVP, MVVM"" ""XCode, Android Studio"" ""Objective-C, Swift"" ""Java, Kotlin""",,/offers/capgemini-polska-senior-mobile-developer
OT / ICS Cyber Security Senior Analyst,Security,remote,mid,Accenture,Warszawa,None-None,,"""SCADA/DCS/PLC/EMS"" ""OT Cybersecurity"" ""Angielski""","""network security design""",/offers/accenture-ot-ics-cyber-security-senior-analyst
AI/ML Engineer,Data,remote,junior,MindPal,Poznań,,7000-10000,"""AI""","""Machine Learning"" ""Big Data"" ""Python"" ""R"" ""Java"" ""C++""",/offers/mindpal-ai-ml-engineer
System Analyst (integracje),Analytics,hybrid,senior,Silky Coders,Tczew,None-None,None-None,"""SQL"" ""UML"" ""BPMN""","""Enterprise Architect""",/offers/silky-coders-system-analyst-tczew-330750
Fullstack Developer,Java,hybrid,senior,TechnipFMC,Kraków,None-None,,"""Java"" ""React"" ""Kotlin""",,/offers/technipfmc-fullstack-developer-krakow
Programista C# – projekt enova365,Testing,hybrid,mid,Soneta Sp. z o.o.,Kraków,None-None,None-None,"""Enova365"" ""C#"" ""Angielski""","""SQL"" ""Oracle"" ""TFS"" ""Git"" ""ERP""",/offers/soneta-sp-z-o-o-programista-c-projekt-enova365-krakow-323006
Software Development Manager - Java,Java,hybrid,senior,Tesco Technology,Kraków,26000-36000,31000-43000,"""Databases"" ""Team Management"" ""SDLC"" ""Kubernetes"" ""Java 17"" ""Spring Boot""","""Cloud""",/offers/tesco-technology-software-development-manager-java
Automation Tester (Selenium),Testing,remote,mid,CGI,Poznan,None-None,None-None,"""Selenium"" ""Cucumber"" ""BDD""",,/offers/cgi-automation-tester-selenium-poznan
SAP FICO Specialist,ERP,hybrid,senior,HAYS Poland,Warszawa,,33600-60480,"""SAP"" ""SAP HANA"" ""SAP FI"" ""SAP FIN""",,/offers/hays-poland-sap-fico-specialist
Mid/Senior Test Automation Developer,Testing,office,senior,Omada Poland,Warszawa,18000-20000,,"""C#"" "".Net"" ""Selenium WebDriver""","""XUnit"" ""Microsoft SQL Server"" ""NUnit"" ""MSTest"" ""Azure DevOps""",/offers/omada-poland-mid-senior-test-automation-developer
Senior Database Developer,Data,hybrid,senior,Silky Coders,Gdańsk,None-None,None-None,"""SQL"" ""PL/SQL"" ""Bash"" ""Oracle"" ""GitLab"" ""Jenkins""",,/offers/silky-coders-senior-database-developer
Kierownik Projektu w Wydziale Zarządzania Projektami,PM,hybrid,c_level,PGE Systemy S.A.,Warszawa,None-None,,"""Zarządzanie Projektami"" ""Project Management"" ""CRM"" ""ERP"" ""MS Office"" ""MS Sharepoint""",,/offers/pge-systemy-s-a-kierownik-projektu-w-wydziale-zarzadzania-projektami
