Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
SAP Consultant,ERP,remote,mid,MindPal,Gdańsk,,None-None,"""SAP"" ""Min. 1 module""",,/offers/mindpal-sap-consultant
DevOps Azure Engineer,DevOps,remote,senior,Reply Polska Sp. z o. o.,Katowice,13000-22000,,"""Azure Services"" ""DevOps tools"" ""Linux/Windows"" ""Scripting""",,/offers/reply-polska-sp-z-o-o-devops-azure-engineer-katowice
Cloud Compliance Consultant,Security,remote,mid,Accenture,Wrocław,14000-22000,,"""Cybersecurity""","""NIST"" ""CSA"" ""CCM"" ""Azure Security  Center"" ""AWS Artifact"" ""GCP Security Command Center"" ""Agile""",/offers/accenture-sp-z-o-o-2-cloud-compliance-consultant-wroclaw
Software Engineer- Microsoft Dynamics AX,Admin,hybrid,mid,NRF Poland Sp. z o.o.,Pruszcz Gdański,None-None,,"""Software Development"" ""English"" ""Microsoft Dynamics AX X++"" "".Net"" ""T-SQL"" ""REST API"" ""SOAP""","""MS SQL Server""",/offers/nrf-poland-sp-z-o-o-software-engineer
Security Analyst (SOC),Analytics,remote,junior,Fujitsu,Łódź,None-None,,,"""Linux"" ""DB2"" ""Windows""",/offers/fujitsu-security-analyst-soc
DevOps Engineer,DevOps,remote,mid,Livespace Sp. z o.o.,Gdańsk,15000-20000,20000-25000,"""AWS"" ""Docker"" ""Kubernetes"" ""Terraform""","""PHP""",/offers/livespace-sp-z-o-o-devops-engineer-gdansk
Inżynier IT,Admin,office,senior,Studiotech Poland Sp. z o.o.,Warszawa,10000-15000,,"""Windows"" ""Linux"" ""IT"" ""Powershell"" ""Bash""",,/offers/studiotech-poland-sp-z-o-o-inzynier-it
Cybersecurity SRE Release Engineering Analyst - Splunk,Security,hybrid,senior,HSBC Service Delivery,Kraków,None-None,,"""Splunk"" ""Big Data"" ""DMA"" ""GitHub"" ""Python"" ""Cybersecurity""",,/offers/hsbc-service-delivery-cybersecurity-sre-release-engineering-krakow
IT Support Manager,Support,hybrid,mid,EMERGE IT Support,Warszawa,7000-11000,8000-12000,"""Team Management"" ""IT Support"" ""Customer Support"" ""Hardware"" ""Office 365"" ""Contact with a client""","""ITIL""",/offers/emerge-it-support-it-support-manager
Senior Software Engineer (m/f/d),Java,office,senior,DATEV,Warszawa,18000-32000,,"""Spring Boot"" ""Angular"" ""Kafka"" ""PostgreSQL"" ""MongoDB"" ""Git"" ""Jenkins"" ""Maven"" ""JPA""",,/offers/datev-senior-software-engineer-m-f-d
Senior DevOps Engineer,DevOps,remote,senior,Akamai,Kraków,19000-25000,,"""Kubernetes"" ""Linux"" ""Python""","""Bash"" ""Go""",/offers/akamai-senior-devops-engineer-krakow
Frontend Development Services,HTML,remote,senior,Pearson,Poznań,,16800-31000,"""JavaScript (jQuery)"" ""CSS"" ""HTML"" ""SASS"" ""Less"" ""OOJS"" ""Google Analytics"" ""Angular""",,/offers/pearson-frontend-development-services
DevOps Engineer,DevOps,remote,senior,Bytamic Solutions,Warszawa,,17500-21000,"""OpenShift"" ""Docker"" ""Linux"" ""Maven"" ""Kubernetes"" ""Jenkins""",,/offers/bytamic-solutions-devops-engineer-warszawa
👩‍💻DevOps Engineer🧑‍💻,DevOps,remote,mid,Interia.pl Sp. z o.o.,Kraków,,None-None,"""Cloud"" ""AWS"" ""GCP"" ""Azure"" ""Openshift/OKD"" ""Linux""","""IaaS"" ""PaaS"" ""SaaS""",/offers/interia-pl-sp-z-o-o-devops-engineer
Staż dla Analityków,Analytics,hybrid,mid,ERGO Hestia,Sopot,None-None,,,"""Python"" ""R"" ""SQL"" ""Power BI""",/offers/ergo-hestia-staz-dla-analitykow-sopot
Java developer,Java,remote,mid,AIS Gateway,Warszawa,9000-14000,14000-19000,"""Java"" ""Spring"" ""Git"" ""REST"" ""SQL"" ""JUnit""","""Spring Boot"" ""Redis"" ""Docker"" ""Azure""",/offers/ais-gateway-java-developer
"Software Engineer, Java and Flink",Java,remote,mid,Acoustic,Poznań,None-None,,"""Java"" ""AWS"" ""Spring Boot"" ""Hibernate"" ""NoSQL"" ""Apache Flink""",,/offers/acoustic-software-engineer-java-and-flink-poznan
Architekt Systemowy (100% zdalnie),Architecture,remote,mid,Sedivio,Wrocław,,23500-30000,"""SOA"" ""SOAP"" ""REST"" ""Enterprise Architect"" ""Java""",,/offers/sedivio-architekt-systemowy-100-zdalnie-wroclaw
Network Administrator,Admin,remote,mid,NTT DATA Business Solutions,Poznań,None-None,,"""CCNA"" ""LAN"" ""WAN"" ""Cisco"" ""English""","""Linux""",/offers/ntt-data-business-solutions-network-administrator-poznan
Administrator systemów,ERP,office,mid,Radaway,Jasin,None-None,None-None,"""ERP"" ""Linux"" ""Windows Server""","""SQL"" ""C"" ""PowerBi"" ""WMS"" ""C#"" ""C++"" ""MsSQL""",/offers/radaway-administrator-systemow-jasin-320897
Młodszy Specjalista IT,Admin,hybrid,junior,9bits sp. z o.o.,Krosno,4000-5000,4000-5000,"""Communication Skills""","""Problem Solving"" ""JIRA"" ""SQL""",/offers/9bits-sp-z-o-o-mlodszy-specjalista-it-krosno
Senior Data Engineer ds. Informacji Ryzyka Kredytowego,Data,hybrid,mid,PKO Bank Polski,Warszawa,None-None,,"""Linux"" ""SAS"" ""Python"" ""SQL"" ""GCP""",,/offers/pko-bank-polski-senior-data-engineer-ds-informacji-ryzyka-kredytowego-warszawa
Product Manager,PM,hybrid,senior,LINK Mobility Poland,Gliwice,None-None,,"""Product Management"" ""Communication"" ""English"" ""Project Management""",,/offers/link-mobility-poland-product-manager
