Title,Category,OperationMode,Level,Company,Location,UOP,B2B,Requirements,Optionals,Link
Business Intelligence Developer,Analytics,hybrid,mid,4IT Solutions,Kielce,10000-18000,,"""SQL"" ""PowerBi"" ""Power Query""","""Angielski""",/offers/4it-solutions-business-intelligence-developer
IT Architect,Architecture,remote,senior,PwC Polska,Gdańsk,None-None,,"""UML"" ""BPMN"" ""CASE"" ""Wzorce architektoniczne""","""SQL"" ""Agile""",/offers/pwc-polska-it-architect-gdansk
Programista Informatica PowerCenter,Data,remote,mid,emagine Polska,Warszawa,,20186-23520,"""Informatica Power Center"" ""PL/SQL"" ""SQL""",,/offers/emagine-polska-programista-informatica-powercenter
Security Analyst (SOC),Analytics,remote,junior,Fujitsu,Łódź,None-None,,,"""Linux"" ""DB2"" ""Windows""",/offers/fujitsu-security-analyst-soc
QA Engineer,Testing,remote,mid,Cleeng sp. z o.o.,Poznań,9000-14000,10000-16000,"""English"" ""API Testing"" ""JavaScript"" ""Cypress"" ""Git"" ""Communication Skills""","""SQL""",/offers/cleeng-sp-z-o-o-qa-engineer
Lead Data Engineer,Data,remote,senior,AURA,Warsaw,,None-None,"""Spark"" ""Python"" ""SQL"" ""Databases"" ""Data modeling"" ""Scala""","""Databricks"" ""Airflow"" ""Containers""",/offers/aura-lead-data-engineer
Sitecore Developer,Net,remote,senior,Sigma IT Poland,Warszawa,16800-22000,20000-25000,"""Sitecore"" "".NET C#"" ""SQL"" ""ASP.NET"" ""Docker""","""Azure"" ""Kubernetes"" ""TypeScript""",/offers/sigma-it-poland-sitecore-developer-warszawa
Data Manager (Delivery Experience Analytics),Data,hybrid,mid,Allegro,Warszawa,None-None,,"""SQL"" ""Oracle"" ""GCP"" ""Spark"" ""management skills""","""Python""",/offers/allegro-data-manager-delivery-experience-analytics
Analytics Manager - Cluster Lead,Data,remote,senior,Kitopi,Kraków,21600-24100,26000-29000,"""Analytics"" ""Team Leadership"" ""Project Management"" ""Stakeholder Management"" ""Statistics"" ""SQL"" ""Tableau/PowerBI"" ""Collaboration"" ""ELT"" ""Python""",,/offers/kitopi-analytics-manager-remote-or-hybrid
Business Process Specialist,Analytics,remote,mid,Experis Manpower Group,Warszawa,,16800-20160,"""Lean Six Sigma"" ""process optimisation"" ""financial processes""",,/offers/experis-manpower-group-business-process-specialist
Junior Data Engineer,Data,office,junior,Kearney,Warszawa,9500-12000,,,"""SQL"" ""T-SQL"" ""Python"" ""SSIS"" ""Airflow"" ""Azure""",/offers/kearney-junior-data-engineer
St. Specjalista/ka ds. aplikacji billingowych IT,Admin,hybrid,senior,TAURON Obsługa Klienta,Katowice,6450-10100,,"""PL/SQL""",,/offers/tauron-obsluga-klienta-st-specjalista-ka-ds-aplikacji-billingowych-it-katowice
Azure Solutions Engineer,Data,remote,mid,C&F S.A.,Warszawa,None-None,None-None,"""Azure"" ""Terraform"" ""Azure DevOps"" ""ARM"" ""GitHub""",,/offers/c-f-s-a-azure-solutions-engineer-warszawa
Senior Backend Developer with Node.js (Freelancer),JS,remote,senior,Monterail,Wrocław,,15000-25000,"""Node.js"" ""nestJS"" ""Backend""",,/offers/monterail-senior-backend-developer-with-node-js-freelancer
